Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
Brave New World;0145600;5.3;;;
Breakfast of Champions;0120618;4.6;175370;12000000;-11824630
Breakfast on Pluto;0411195;7.3;828699;;
Breakfast with Scot;0910847;6.8;46060;;
Breakheart Pass;0072735;6.7;;;
Smith!;0065003;6.3;;;
La mariée était en noir;0061955;7.3;42324;747000;-704676
Brideshead Revisited;0412536;6.7;6414563;20000000;-13585437
The Bridge of San Luis Rey;0356443;5.1;42880;24000000;-23957120
Bridge to Terabithia;0398808;7.2;137587063;17000000;120587063
The Bridges at Toko-Ri;0046806;6.8;;;
The Bridges of Madison County;0112579;7.5;182016617;35000000;147016617
Bridget Jones's Diary;0243155;6.7;281929795;26000000;255929795
Bright Lights, Big City;0094799;5.6;16118077;25000000;-8881923
Brighton Rock;1233192;5.8;;12000000;
Bringing Out the Dead;0163988;6.8;16640210;55000000;-38359790
Elling;0279064;7.6;;;
Abril Despedaçado;0291003;7.7;64210;;
Brothers in Law;0050214;6.8;;;
The Brothers Karamazov;0051435;6.8;;;
Brown's Requiem;0171135;5.9;3077;;
Mister Buddwing;0059453;6.2;;;
Buffalo Girls;0111903;6.7;;;
Buffalo Soldiers;0252299;6.9;353743;15000000;-14646257
The Final Terror;0082379;5.0;;;
Burglar;0092710;4.9;16337355;;
Don Juan 1926;;;;;
The Burning Hills;0049036;5.9;;;
;;;;;
Mountains of the Moon;0100196;7.3;4011793;;
The Busy Body;0061431;5.7;;;
Gentlemen Marry Brunettes;0048111;5.1;;;
BUtterfield 8;0053622;6.4;16462599;2500000;13962599
The Adventures of Bullwhip Griffin;0061333;6.7;;;
The Caine Mutiny;0046816;7.9;;2000000;
Cal;0087019;6.7;;;
The Deadly Affair;0061556;6.8;;;
Decision Before Dawn;0043459;7.4;;;
What a Nightmare, Charlie Brown!;0076911;7.6;;;
Candy;0424880;7.3;44720;;
Canterbury Tales;0353045;7.5;;;
Canyon Passage;0038395;7.0;;;
Captain Blood;0026174;7.8;;1200000;
A Captive in the Land;0099219;5.4;;;
The Tall T;0051047;7.4;;;
The Love Bug;0064603;6.4;51264000;;
The Card;0045056;7.2;;;
Careful, He Might Hear You;0085295;7.0;;;
Carlito's Way;0106519;7.9;63848322;30000000;33848322
Nevada Smith;0060748;7.0;14170000;;
The House of the Spirits;0107151;6.9;6265311;25000000;-18734689
The Carey Treatment;0068337;6.2;;;
Les carnets du Major Thompson;0047921;6.0;;;
Down Three Dark Streets;0046928;6.8;;;
Cash McCall;0052680;6.5;;;
Casino Royale;0381061;8.0;599045960;150000000;449045960
The Last Castle;0272020;6.9;18208078;60000000;-41791922
Cat Chaser;0097028;5.4;;;
Koshka, kotoraya gulyala sama po sebe;0997248;7.2;;;
Catch-22;0065528;7.2;24911670;18000000;6911670
Catlow;0066900;5.5;;;
The Caveman's Valentine;0182000;6.0;687194;;
Les cerfs-volants;1101033;7.2;;;
Les diaboliques;0046911;8.2;;;
The Cement Garden;0106535;7.2;322975;;
Centennial;0076993;8.6;;25000000;
The Pianist;0253474;8.5;120072577;35000000;85072577
Vers le Sud;;;;;
The Chamber;0115862;5.9;22540359;50000000;-27459641
La HabitaciÃ³n azul;;;;;
Champagne;0018756;5.7;;;
The Chancellor Manuscript;;;;;
Changhen ge;0475263;5.7;;5000000;
Willy Wonka & the Chocolate Factory;0067992;7.8;4000000;3000000;1000000
Charlie Chan's Murder Cruise;0032326;7.7;;;
Charlie Muffin;0078956;7.1;;;
Charlotte Gray;0245046;6.4;668140;;
Charlotte's Web;0413895;6.4;144877632;;
Snowball Express;0069291;6.4;;;
The Cheetah Girls 2;0800318;4.9;;;
Gallows Hill;2387408;5.2;;5000000;
Children of Men;0206634;7.9;68327768;76000000;-7672232
The Crash;2571542;7.7;;;
The Children of Sanchez;0077326;7.2;;;
Westward Ho, the Wagons!;0049945;5.9;2750000;;
China Seas;0026205;7.0;;;
The Chinese Parrot;0017752;5.0;;;
Chocolat;0241303;7.3;152699946;25000000;127699946
The Chocolate War;0094869;6.9;303624;;
Christine;0085333;6.6;21200000;9700000;11500000
Candleshoe;0075807;6.7;;;
Living Single;0106056;7.2;;;
Kelly and Dolly: A Christmas to Remember;;;;;
Christmas Holiday;0036711;6.7;;;
The Christmas Shoes;0330152;6.9;;;
Christopher Strong;0023891;6.3;;284000;
The Lion, the Witch and the Wardrobe;0224907;8.5;;;
The Chronicles of Narnia: Prince Caspian;0499448;6.6;419651413;225000000;194651413
The Silver Chair 1990;;;;;
The Chronicles of Narnia: The Voyage of the Dawn Treader;0980970;6.3;418186950;155000000;263186950
The Chronicles of Narnia: The Magician's Nephew;;;;;
The Black Cauldron;0088814;6.4;21288692;44000000;-22711308
The Cider House Rules;0124315;7.4;88545092;24000000;64545092
Cimarron;0053715;6.4;4825000;5421000;-596000
The Cincinnati Kid;0059037;7.3;15260000;;
Cinderella Liberty;0069883;6.8;;;
Five Weeks in a Balloon;0055988;5.8;;;
7 Faces of Dr. Lao;0057812;7.3;;;
Cirque du Freak: The Vampire's Assistant;0450405;6.0;13698390;40000000;-26301610
The Citadel;0029995;7.3;;;
City of Ember;0970411;6.5;17929684;55000000;-37070316
Cidade de Deus;0317248;8.7;18062482;3300000;14762482
Clair de femme;0078978;6.5;;;
The Clan of the Cave Bear;0090848;5.3;1953732;15000000;-13046268
The Fall of a Nation;0006664;5.1;;;
Class Reunion;0084395;4.5;10054150;;
The Killing;1637727;8.2;;;
Clear and Present Danger;0109444;6.9;215887717;45000000;170887717
The Client;0109446;6.7;117600000;45000000;72600000
Clockers;0112688;6.9;13040603;25000000;-11959397
A Clockwork Orange;0066921;8.4;26589355;2200000;24389355
The Ninth Gate;0142688;6.7;58000000;38000000;20000000
Cockfighter;0071338;7.2;;;
Cocoon;0088933;6.6;85313124;;
Code of the West;2091266;7.0;;;
Three Coins in the Fountain;0047580;6.3;;;
Cold Mountain;0159365;7.2;173013509;79000000;94013509
