Book,Movie,IMDb ID,IMDb Rating,Gross Revenue,Budget,Net Profit
Jane Eyre,Shanti Nilayam,tt0390476,7.8,,,
The Jungle Book,Maugli,tt0217590,7.8,,,
Kolchak: The Kolchak Papers,The Night Stalker,tt0067490,7.8,,450000,
The Last of the Mohicans,The Last of the Mohicans,tt0104691,7.8,75505856,40000000,35505856
Lost Horizon,Lost Horizon,tt0029162,7.8,,4000000,
The Magician (W. Somerset Maugham),Ansiktet,tt0051365,7.8,,,
Mary Poppins,Mary Poppins,tt0058331,7.8,115272727,6000000,109272727
Maurice (E. M. Forster),Maurice,tt0093512,7.8,3130592,2600000,530592
The Girl with the Dragon Tattoo (Millennium series) (Stieg Larsson),Män som hatar kvinnor,tt1132620,7.8,104395170,13000000,91395170
Misery (Stephen King),Misery,tt0100157,7.8,61276872,20000000,41276872
Le Morte d'Arthur,Torchwood,tt0485301,7.8,,,
The Name of the Rose,Der Name der Rose,tt0091605,7.8,77200000,,
The Night of the Iguana,The Night of the Iguana,tt0058404,7.8,12000000,3000000,9000000
Nightmare Alley,Nightmare Alley,tt0039661,7.8,,,
Odd Man Out,Odd Man Out,tt0039677,7.8,,,
Odyssey (Homer),"O Brother, Where Art Thou?",tt0190590,7.8,45506619,26000000,19506619
Oliver Twist,Oliver Twist,tt0040662,7.8,,,
Oms en serie,La planète sauvage,tt0070544,7.8,,,
Ordinary People,Ordinary People,tt0081283,7.8,54766923,6000000,48766923
"Peter Pan, or The Boy Who Wouldn't Grow Up",Finding Neverland,tt0308644,7.8,116766556,25000000,91766556
Portrait of Jennie,Portrait of Jennie,tt0040705,7.8,,4041000,
The Postman Always Rings Twice,Ossessione,tt0035160,7.8,,,
Professor Unrat,Der blaue Engel,tt0020697,7.8,77982,,
The Sea Hawk,The Sea Hawk,tt0033028,7.8,,1700000,
Tai-Pan,Noble House,tt0094521,7.8,,,
The Talented Mr. Ripley,Plein soleil,tt0054189,7.8,618090,,
Tess of the d'Urbervilles,Tess of the D'Urbervilles,tt1186342,7.8,,,
The Thirty-Nine Steps,The 39 Steps,tt0026029,7.8,,,
Three-Ten to Yuma,3:10 to Yuma,tt0381849,7.8,53606916,55000000,-1393084
Les yeux sans visage,Les yeux sans visage,tt0053459,7.8,52709,,
Zorba the Greek,Alexis Zorbas,tt0057831,7.8,23500000,783000,22717000
The 25th Hour,25th Hour,tt0307901,7.7,13060843,15000000,-1939157
42nd Street,42nd Street,tt0024034,7.7,2300000,439000,1861000
Battle Royale,Batoru rowaiaru,tt0266308,7.7,,4500000,
La Bete humaine,La bête humaine,tt0029957,7.7,,,
The Big Clock,The Big Clock,tt0040160,7.7,,,
The Borrowers,Kari-gurashi no Arietti,tt1568921,7.7,145570827,,
The Brave Cowboy,Lonely Are the Brave,tt0056195,7.7,,,
Broken April,Abril Despedaçado,tt0291003,7.7,64210,,
Charlie Chan Carries On,Charlie Chan's Murder Cruise,tt0032326,7.7,,,
Children of Pleasure,The Crash,tt2571542,7.7,,,
The Count of Monte Cristo,The Count of Monte Cristo,tt0245844,7.7,75395048,35000000,40395048
The Cruel Sea,The Cruel Sea,tt0045659,7.7,,,
Il disprezzo (Alberto Moravia),Le mépris,tt0057345,7.7,528428,900000,-371572
Dune,Children of Dune,tt0287839,7.7,,20000000,
Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,tt0120669,7.7,10680275,18500000,-7819725
First Blood,First Blood,tt0083944,7.7,125212904,14000000,111212904
Flashpoint,Flashpoint,tt1059475,7.7,,,
Giant (Edna Ferber),Giant,tt0049261,7.7,35000000,5400000,29600000
Gods and Generals,Gettysburg,tt0107007,7.7,10769960,25000000,-14230040
"Goodbye, Mr. Chips","Goodbye, Mr. Chips",tt0031385,7.7,,,
The Grizzly King,L'ours,tt0095800,7.7,31753898,,
