Book;Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
I Know What You Did Last Summer;I Know What You Did Last Summer;tt0119345;5.6;125586134;17000000;108586134
I Love You, Beth Cooper;I Love You, Beth Cooper;tt1032815;5.3;14793904;18000000;-3206096
If I Die Before I Wake;The Lady from Shanghai;tt0040525;7.7;7927;2300000;-2292073
Im Westen Nichts Neues;All Quiet on the Western Front;tt0020629;8.1;3270000;1448864;1821136
Immortality, Inc.;Freejack;tt0104299;5.3;17129000;30000000;-12871000
In Country (Bobbie Ann Mason);In Country;tt0097570;5.9;3531971;18000000;-14468029
Interview with the Vampire;Interview with the Vampire: The Vampire Chronicles;tt0110148;7.6;223664608;60000000;163664608
The Iron Man (Ted Hughes);The Iron Giant;tt0129167;8.0;80000000;48000000;32000000
The Island;The Island;tt0399201;6.9;162949164;126000000;36949164
It Can't Happen Here;Shadow of the Vampire;tt0189998;6.9;8279017;8000000;279017
Ivanhoe;Ivanhoe;tt0044760;6.9;24729920;3842000;20887920
James and the Giant Peach;James and the Giant Peach;tt0116683;6.7;28934758;38000000;-9065242
Jaws;Jaws;tt0073195;8.1;470653000;8000000;462653000
Jitter Joint;D-Tox;tt0160184;5.2;6416302;55000000;-48583698
Journey to the West;The Forbidden Kingdom;tt0865556;6.6;127980002;55000000;72980002
The Joy Luck Club;The Joy Luck Club;tt0107282;7.6;32861136;11000000;21861136
The Juggler (Donald E. Westlake);Made in U.S.A;tt0060647;6.5;81105;50000;31105
Jumanji;Jumanji;tt0113497;6.9;262797249;50000000;212797249
Jurassic Park;Jurassic Park;tt0107290;8.1;1029153882;63000000;966153882
The King's Damosel;Quest for Camelot;tt0120800;6.2;22717758;40000000;-17282242
The Killer Angels;Gettysburg;tt0107007;7.7;10769960;25000000;-14230040
The Killer Inside Me;The Killer Inside Me;tt0954947;6.1;214966;13000000;-12785034
Kiss the Girls;Kiss the Girls;tt0119468;6.6;60527873;27000000;33527873
Kuroi Ame;Black Rain;tt0096933;6.6;134212055;30000000;104212055
L.A. Confidential;L.A. Confidential;tt0119488;8.3;126216940;35000000;91216940
The Lady of the Camellias;Camille;tt0028683;7.6;1688000;1486000;202000
The Lair of the White Worm;The Lair of the White Worm;tt0095488;5.8;1189315;2500000;-1310685
The Last of the Mohicans;The Last of the Mohicans;tt0104691;7.8;75505856;40000000;35505856
The Last Picture Show;The Last Picture Show;tt0067328;8.1;29133000;1300000;27833000
The Last Song;The Last Song;tt1294226;5.8;89041656;20000000;69041656
Lay This Laurel;Glory;tt0097441;7.9;26830000;18000000;8830000
Left Behind;Left Behind;tt2467046;3.1;6300147;16000000;-9699853
Let the Right One In;Låt den rätte komma in;tt1139797;8.0;7282007;4000000;3282007
Les Liaisons dangereuses;Dangerous Liaisons;tt0094947;7.7;34700000;14000000;20700000
Life of Pi;Life of Pi;tt0454876;8.0;609016565;120000000;489016565
The Lincoln Lawyer;The Lincoln Lawyer;tt1189340;7.3;87145086;40000000;47145086
Like a Fire is Burning;The Work and the Glory II: American Zion;tt0457530;6.5;2025032;6500000;-4474968
Live and Let Die;Live and Let Die;tt0070328;6.8;126377836;7000000;119377836
Logan's Run;Logan's Run;tt0074812;6.8;25000000;9000000;16000000
Lolita;Lolita;tt0119558;6.9;1060056;58000000;-56939944
The Lord of the Rings;The Lord of the Rings: The Return of the King;tt0167260;8.9;1119929521;94000000;1025929521
The Lost World (Michael Crichton);The Lost World: Jurassic Park;tt0119567;6.5;618638999;73000000;545638999
Love Story (Erich Segal);Love Story;tt0066011;6.9;136400000;2200000;134200000
The Lovely Bones;The Lovely Bones;tt0380510;6.7;93621340;65000000;28621340
The Luck of Barry Lyndon;Barry Lyndon;tt0072684;8.1;31500000;11000000;20500000
The Lucky One;The Lucky One;tt1327194;6.5;99357138;25000000;74357138
Lunes de fiel;Bitter Moon;tt0104779;7.1;1862805;5000000;-3137195
Madame Doubtfire;Mrs. Doubtfire;tt0107614;6.9;441286195;25000000;416286195
The Magic Bed Knob;Bedknobs and Broomsticks;tt0066817;7.0;18530000;20000000;-1470000
The Maltese Falcon;The Maltese Falcon;tt0033870;8.2;1772000;375000;1397000
Man on Fire;Man on Fire;tt0328107;7.7;130293714;70000000;60293714
The Man with the Golden Gun;The Man with the Golden Gun;tt0071807;6.8;97600000;13000000;84600000
The Manchurian Candidate;The Manchurian Candidate;tt0368008;6.6;65948711;80000000;-14051289
Marnie;Marnie;tt0058329;7.2;7000000;3000000;4000000
Mary Poppins;Mary Poppins;tt0058331;7.8;115272727;6000000;109272727
MASH: A Novel About Three Army Doctors;M*A*S*H;tt0066026;7.6;81600000;3500000;78100000
Matilda (Roald Dahl);Matilda;tt0117008;6.8;33084249;36000000;-2915751
Maurice (E. M. Forster);Maurice;tt0093512;7.8;3130592;2600000;530592
The Memoirs of Cleopatra;Cleopatra;tt0056937;7.0;71777778;31115000;40662778
Message in a Bottle;Message in a Bottle;tt0139462;6.1;118880016;80000000;38880016
A Midnight Clear;A Midnight Clear;tt0102443;7.2;1526697;5000000;-3473303
The Midwich Cuckoos;Village of the Damned;tt0114852;5.6;9417567;22000000;-12582433
The Girl with the Dragon Tattoo (Millennium series) (Stieg Larsson);The Girl with the Dragon Tattoo;tt1568346;7.8;232617430;90000000;142617430
Les Miserables;Les Miserables;tt1707386;7.6;441809770;61000000;380809770
Misery (Stephen King);Misery;tt0100157;7.8;61276872;20000000;41276872
Moonraker;Moonraker;tt0079574;6.3;210308099;34000000;176308099
The Mortal Instruments;The Mortal Instruments: City of Bones;tt1538403;6.0;90565421;60000000;30565421
